epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1071.8,1.14962,0.75049,1.16921,0.89293,0.82939,0.88626,0.56364,1.22535,0.77413,1.2622,0.00032155,0.00032155,0.00032155
43,1096.5,1.13031,0.7324,1.16499,0.88844,0.83429,0.88511,0.56825,1.2077,0.73992,1.25806,0.000314051,0.000314051,0.000314051
44,1121.38,1.12788,0.73529,1.16554,0.91482,0.84012,0.89842,0.58544,1.17869,0.71805,1.24302,0.00030649,0.00030649,0.00030649
45,1146.19,1.12431,0.72894,1.15906,0.90906,0.84368,0.89459,0.56905,1.20061,0.73104,1.25225,0.000298877,0.000298877,0.000298877
46,1171.14,1.12385,0.72726,1.15812,0.92652,0.84144,0.898,0.57871,1.20565,0.72656,1.25232,0.000291218,0.000291218,0.000291218
47,1195.99,1.10773,0.71985,1.15158,0.91961,0.8417,0.89756,0.58367,1.17275,0.70761,1.23136,0.00028352,0.00028352,0.00028352
48,1221.01,1.10405,0.71666,1.15164,0.92264,0.84856,0.89622,0.58272,1.16339,0.68814,1.22012,0.000275792,0.000275792,0.000275792
49,1245.83,1.09402,0.70723,1.1494,0.89997,0.85511,0.89619,0.57655,1.18221,0.72643,1.24186,0.000268041,0.000268041,0.000268041
50,1270.8,1.08671,0.69704,1.14453,0.91583,0.86345,0.90484,0.58809,1.16136,0.69556,1.2201,0.000260274,0.000260274,0.000260274
51,1295.5,1.07924,0.69251,1.13355,0.91103,0.85286,0.89783,0.58438,1.15998,0.68257,1.22904,0.0002525,0.0002525,0.0002525
52,1320.23,1.07468,0.68235,1.12943,0.90894,0.86507,0.89912,0.5882,1.16591,0.68751,1.23201,0.000244726,0.000244726,0.000244726
53,1345.22,1.06872,0.67638,1.12929,0.90024,0.87512,0.90693,0.59138,1.15448,0.68658,1.22235,0.000236959,0.000236959,0.000236959
54,1369.91,1.06329,0.66881,1.12704,0.91148,0.85338,0.90602,0.59236,1.14553,0.67398,1.21862,0.000229208,0.000229208,0.000229208
55,1394.85,1.0655,0.67438,1.13253,0.90354,0.86477,0.90524,0.59179,1.14616,0.67252,1.21738,0.00022148,0.00022148,0.00022148
56,1419.64,1.04852,0.6595,1.12046,0.90374,0.85355,0.89578,0.59235,1.14128,0.6676,1.2176,0.000213782,0.000213782,0.000213782
57,1444.47,1.04235,0.65611,1.11495,0.90324,0.86804,0.9058,0.59766,1.14556,0.66633,1.21179,0.000206123,0.000206123,0.000206123
58,1469.18,1.03788,0.65119,1.11812,0.91824,0.86728,0.90922,0.60526,1.11248,0.64684,1.19448,0.00019851,0.00019851,0.00019851
59,1494.2,1.02589,0.64785,1.11159,0.91584,0.87028,0.89817,0.59647,1.12366,0.65183,1.19671,0.000190949,0.000190949,0.000190949
60,1519.23,1.02256,0.64453,1.11007,0.91466,0.86814,0.91131,0.6093,1.1022,0.64482,1.18612,0.00018345,0.00018345,0.00018345
61,1544.11,1.0204,0.64038,1.11122,0.92501,0.87004,0.91074,0.60212,1.10766,0.64364,1.20051,0.000176018,0.000176018,0.000176018
62,1569.1,1.02147,0.63826,1.10745,0.93549,0.86467,0.90749,0.60533,1.11097,0.64761,1.19175,0.000168662,0.000168662,0.000168662
63,1593.77,1.007,0.622,1.09961,0.91306,0.87627,0.91014,0.60632,1.11126,0.64479,1.20038,0.000161389,0.000161389,0.000161389
64,1618.65,1.00074,0.62127,1.10488,0.92071,0.87827,0.91053,0.60571,1.10375,0.63915,1.19684,0.000154206,0.000154206,0.000154206
65,1643.56,0.99597,0.61283,1.10004,0.92079,0.8763,0.90874,0.60639,1.10826,0.63747,1.195,0.00014712,0.00014712,0.00014712
66,1668.17,0.99051,0.61876,1.09792,0.91852,0.86558,0.90975,0.60657,1.0975,0.64998,1.18832,0.000140137,0.000140137,0.000140137
67,1692.93,0.9857,0.60598,1.09621,0.91942,0.86082,0.90643,0.60571,1.09966,0.64481,1.20559,0.000133266,0.000133266,0.000133266
68,1717.77,0.98258,0.61405,1.09822,0.91691,0.86949,0.90967,0.60889,1.0966,0.64191,1.19687,0.000126512,0.000126512,0.000126512
69,1742.41,0.97697,0.6091,1.09379,0.91878,0.87756,0.91217,0.61314,1.08907,0.63102,1.19182,0.000119883,0.000119883,0.000119883
70,1767.36,0.96258,0.59583,1.08941,0.91578,0.87499,0.90743,0.6125,1.08491,0.62262,1.18689,0.000113384,0.000113384,0.000113384
71,1792.14,0.96861,0.59569,1.09087,0.90825,0.87949,0.90893,0.61967,1.07825,0.62513,1.18299,0.000107023,0.000107023,0.000107023
72,1817.22,0.96166,0.59615,1.08455,0.91997,0.86979,0.90722,0.61386,1.07611,0.62184,1.17935,0.000100806,0.000100806,0.000100806
73,1842.08,0.95478,0.58893,1.08301,0.9107,0.88553,0.90974,0.61565,1.07741,0.61173,1.1814,9.47376e-05,9.47376e-05,9.47376e-05
74,1866.72,0.94638,0.58399,1.0811,0.91787,0.88484,0.91157,0.61411,1.07006,0.61501,1.17692,8.88253e-05,8.88253e-05,8.88253e-05
75,1891.82,0.94808,0.58657,1.08175,0.91838,0.87812,0.91173,0.618,1.07264,0.61531,1.17845,8.30746e-05,8.30746e-05,8.30746e-05
76,1916.53,0.95188,0.58943,1.08206,0.92285,0.88403,0.91322,0.61521,1.07019,0.61402,1.18007,7.74911e-05,7.74911e-05,7.74911e-05
77,1941.34,0.94363,0.57845,1.07922,0.91839,0.88689,0.91344,0.62196,1.06017,0.60995,1.17938,7.20803e-05,7.20803e-05,7.20803e-05
78,1966.24,0.94159,0.58181,1.07681,0.92767,0.88877,0.91124,0.62055,1.0675,0.61156,1.18349,6.68475e-05,6.68475e-05,6.68475e-05
79,1990.95,0.93348,0.57811,1.07349,0.93022,0.88334,0.91578,0.61921,1.0634,0.60874,1.17902,6.1798e-05,6.1798e-05,6.1798e-05
80,2015.8,0.9337,0.58186,1.07617,0.92692,0.88191,0.90964,0.62112,1.0568,0.60949,1.17711,5.69366e-05,5.69366e-05,5.69366e-05
81,2040.55,0.92361,0.56911,1.07247,0.92863,0.88428,0.91079,0.62198,1.05609,0.60582,1.17546,5.22683e-05,5.22683e-05,5.22683e-05
82,2065.28,0.92044,0.56513,1.07028,0.92317,0.87849,0.908,0.62324,1.05246,0.60339,1.17293,4.77976e-05,4.77976e-05,4.77976e-05
83,2090.3,0.91848,0.56231,1.07294,0.92507,0.88416,0.91035,0.62285,1.05354,0.59989,1.16657,4.35288e-05,4.35288e-05,4.35288e-05
84,2115.17,0.90873,0.56104,1.06563,0.92759,0.88406,0.91245,0.62032,1.05372,0.59913,1.17031,3.94663e-05,3.94663e-05,3.94663e-05
85,2140.05,0.91413,0.5572,1.0626,0.92968,0.88435,0.91088,0.62392,1.05145,0.60145,1.17025,3.56141e-05,3.56141e-05,3.56141e-05
86,2165.1,0.9067,0.55139,1.06209,0.92589,0.88412,0.91232,0.62288,1.05026,0.59869,1.16969,3.19759e-05,3.19759e-05,3.19759e-05
87,2190.01,0.90834,0.55311,1.06335,0.93367,0.88344,0.91495,0.62248,1.04631,0.60352,1.16816,2.85553e-05,2.85553e-05,2.85553e-05
88,2214.96,0.90382,0.55633,1.06289,0.92842,0.88347,0.91415,0.62454,1.04537,0.60637,1.16816,2.53557e-05,2.53557e-05,2.53557e-05
89,2239.78,0.90494,0.55725,1.06275,0.93106,0.88317,0.91407,0.62432,1.04666,0.60387,1.16605,2.23803e-05,2.23803e-05,2.23803e-05
90,2264.85,0.89765,0.55285,1.06313,0.92543,0.88823,0.91429,0.62498,1.04529,0.59847,1.16549,1.9632e-05,1.9632e-05,1.9632e-05
91,2291.25,0.87387,0.51244,1.06024,0.92267,0.8755,0.90761,0.61977,1.06665,0.60862,1.1816,1.71135e-05,1.71135e-05,1.71135e-05
92,2315.61,0.84357,0.47471,1.0493,0.91625,0.87133,0.90748,0.61995,1.07229,0.61498,1.18381,1.48273e-05,1.48273e-05,1.48273e-05
93,2339.82,0.81884,0.45958,1.03656,0.91445,0.87337,0.90949,0.62132,1.06623,0.61455,1.18054,1.27757e-05,1.27757e-05,1.27757e-05
94,2364.12,0.80932,0.45224,1.03428,0.92032,0.87778,0.91112,0.6227,1.06198,0.61038,1.17843,1.09606e-05,1.09606e-05,1.09606e-05
95,2388.25,0.80354,0.45099,1.03209,0.92229,0.87843,0.91279,0.62514,1.05874,0.6073,1.17737,9.38391e-06,9.38391e-06,9.38391e-06
96,2412.52,0.80026,0.45033,1.03423,0.9184,0.87909,0.91074,0.62301,1.05724,0.60556,1.17673,8.04714e-06,8.04714e-06,8.04714e-06
97,2436.59,0.80439,0.44718,1.0323,0.92045,0.87814,0.91118,0.626,1.05587,0.60325,1.17496,6.95161e-06,6.95161e-06,6.95161e-06
98,2460.75,0.79745,0.4467,1.03152,0.92435,0.88022,0.91449,0.62603,1.05335,0.60065,1.17313,6.09841e-06,6.09841e-06,6.09841e-06
99,2484.92,0.79242,0.44498,1.02742,0.92294,0.87612,0.91432,0.62673,1.05319,0.59939,1.17297,5.48838e-06,5.48838e-06,5.48838e-06
100,2509.19,0.79853,0.44631,1.02842,0.92614,0.87988,0.91483,0.62751,1.05275,0.5979,1.17255,5.12213e-06,5.12213e-06,5.12213e-06
