epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1524.72,1.39739,1.03558,1.41948,0.67765,0.59922,0.6088,0.2988,2.33007,1.78112,2.29763,0.00032155,0.00032155,0.00032155
43,1560.49,1.3844,1.03615,1.41475,0.67166,0.65044,0.6287,0.30238,2.28351,1.73153,2.27322,0.000314051,0.000314051,0.000314051
44,1596.5,1.36941,0.9962,1.40036,0.68395,0.62843,0.62127,0.30376,2.30087,1.73151,2.29928,0.00030649,0.00030649,0.00030649
45,1632.17,1.35061,0.99582,1.39208,0.66186,0.63566,0.62728,0.30156,2.32452,1.75497,2.30486,0.000298877,0.000298877,0.000298877
46,1668.05,1.35371,0.98177,1.38918,0.71028,0.60921,0.62071,0.30513,2.30431,1.7724,2.28543,0.000291218,0.000291218,0.000291218
47,1704.01,1.3465,0.98808,1.38663,0.70796,0.61177,0.61891,0.30118,2.34483,1.74037,2.32276,0.00028352,0.00028352,0.00028352
48,1739.97,1.3426,0.97125,1.38336,0.69238,0.62076,0.62023,0.30086,2.32138,1.80751,2.33062,0.000275792,0.000275792,0.000275792
49,1775.97,1.33167,0.95234,1.37189,0.67144,0.62902,0.61976,0.30584,2.28188,1.77172,2.2747,0.000268041,0.000268041,0.000268041
50,1811.86,1.32777,0.94529,1.3685,0.70342,0.63216,0.62451,0.30204,2.33652,1.70397,2.31682,0.000260274,0.000260274,0.000260274
51,1847.76,1.31805,0.94054,1.36563,0.74752,0.60629,0.63385,0.29401,2.33201,1.73638,2.32697,0.0002525,0.0002525,0.0002525
52,1883.88,1.31698,0.93532,1.36299,0.69204,0.63534,0.63198,0.29899,2.34,1.74963,2.32257,0.000244726,0.000244726,0.000244726
53,1919.89,1.3064,0.92623,1.35649,0.70569,0.61314,0.63087,0.30264,2.36151,1.70131,2.35809,0.000236959,0.000236959,0.000236959
54,1956.12,1.29851,0.91825,1.34688,0.71753,0.61351,0.62566,0.30136,2.35306,1.75576,2.35147,0.000229208,0.000229208,0.000229208
55,1992,1.28165,0.9079,1.33529,0.71501,0.59844,0.6228,0.30429,2.33952,1.77562,2.34101,0.00022148,0.00022148,0.00022148
56,2027.99,1.27615,0.89353,1.33267,0.71097,0.61911,0.62686,0.29979,2.35219,1.76394,2.35108,0.000213782,0.000213782,0.000213782
57,2064.22,1.27289,0.88326,1.33009,0.72705,0.60484,0.6177,0.29628,2.35505,1.72475,2.3503,0.000206123,0.000206123,0.000206123
58,2100.19,1.26082,0.88404,1.32889,0.68494,0.6249,0.61941,0.29757,2.35193,1.74282,2.35487,0.00019851,0.00019851,0.00019851
59,2136.26,1.26055,0.87027,1.32672,0.69161,0.62785,0.61728,0.30027,2.37726,1.76655,2.3744,0.000190949,0.000190949,0.000190949
60,2172.53,1.25811,0.86196,1.32047,0.68294,0.6374,0.62167,0.29937,2.39944,1.76165,2.39014,0.00018345,0.00018345,0.00018345
61,2208.43,1.23951,0.86066,1.31229,0.70819,0.61072,0.61453,0.30074,2.37293,1.78105,2.38741,0.000176018,0.000176018,0.000176018
62,2244.72,1.25625,0.87189,1.31619,0.73757,0.60132,0.61328,0.29498,2.38134,1.78794,2.41207,0.000168662,0.000168662,0.000168662
63,2280.88,1.22297,0.83763,1.30252,0.69319,0.61503,0.61545,0.29192,2.38866,1.78639,2.42122,0.000161389,0.000161389,0.000161389
64,2317.11,1.23277,0.84417,1.30276,0.71655,0.60668,0.6153,0.29105,2.40474,1.78355,2.43132,0.000154206,0.000154206,0.000154206
